      Date,          T,          P,         Ep,          I,         Ea,       Dsum,         Db,        Dmp
2005-02-02,   4.834286,   2.110000,  17.685000,   0.000000,  16.078973,  10.000000,   0.000000,  10.000000
2005-02-03,   5.361429,   1.020000,  18.217188,   0.000000,   6.995907,  10.000000,   0.000000,  10.000000
2005-02-04,   5.888571,   2.650000,  18.749375,   0.000000,   6.004930,   7.045271,   0.000000,   7.045271
2005-02-05,   6.415714,   3.160000,  19.281562,   0.000000,   3.996398,   2.840221,   0.000000,   2.840221
2005-02-06,   6.942857,   4.230000,  19.813750,   0.000000,   5.355022,   1.365228,   0.000000,   1.365228
2005-02-07,   7.470000,   4.200000,  20.345938,   0.000000,   5.654090,   1.647612,   0.000000,   1.647612
2005-02-08,   6.720000,   2.610000,  20.878125,   0.000000,   3.110233,   0.806569,   0.000000,   0.806569
2005-02-09,   5.970000,   2.700000,  21.410312,   0.000000,   3.504035,   1.329068,   0.000000,   1.329068
2005-02-10,   5.220000,   1.950000,  21.942500,   0.000000,   3.480168,   1.158711,   0.000000,   1.158711
2005-02-11,   4.470000,   1.580000,  22.474688,   0.000000,   3.381267,   0.880769,   0.000000,   0.880769
2005-02-12,   3.720000,   1.290000,  23.006875,   0.000000,   3.317200,   0.669516,   0.000000,   0.669516
2005-02-13,   2.970000,   4.950000,  23.539062,   0.000000,   4.199640,   1.862416,   0.000000,   1.862416
2005-02-14,   3.580000,   2.490000,  24.071250,   0.000000,   4.174873,   1.693573,   0.000000,   1.693573
2005-02-15,   4.190000,   2.560000,  24.603438,   0.000000,   4.014622,   1.342755,   0.000000,   1.342755
2005-02-16,   4.276667,   1.750000,  25.135625,   0.000000,   3.850551,   1.003112,   0.000000,   1.003112
2005-02-17,   4.363333,   3.780000,  25.667813,   0.000000,   4.317841,   1.522910,   0.000000,   1.522910
2005-02-18,   4.450000,   1.390000,  26.200000,   0.000000,   4.039653,   1.045259,   0.000000,   1.045259
2005-02-19,   4.536667,   2.790000,  28.714732,   0.000000,   4.459340,   1.097061,   0.000000,   1.097061
2005-02-20,   4.623333,   2.100000,  31.229464,   0.000000,   4.753660,   1.002763,   0.000000,   1.002763
2005-02-21,   4.710000,   3.390000,  33.744196,   0.000000,   5.403532,   1.269428,   0.000000,   1.269428
2005-02-22,   4.865417,   2.490000,  36.258929,   0.000000,   5.632848,   1.113122,   0.000000,   1.113122
2005-02-23,   5.020833,   1.820000,  38.773661,   0.000000,   5.595246,   0.757055,   0.000000,   0.757055
2005-02-24,   5.176250,   2.970000,  41.288393,   0.000000,   6.207260,   0.949580,   0.000000,   0.949580
2005-02-25,   5.331667,   3.430000,  43.803125,   0.000000,   6.880415,   1.157299,   0.000000,   1.157299
2005-02-26,   5.487083,   3.070000,  46.317857,   0.000000,   7.148771,   1.065604,   0.000000,   1.065604
2005-02-27,   5.642500,   3.300000,  48.832589,   0.000000,   7.507790,   1.040067,   0.000000,   1.040067
2005-02-28,   5.797917,   2.370000,  51.347321,   0.000000,   7.446442,   0.769924,   0.000000,   0.769924
2005-03-01,   5.953333,   1.640000,  53.862054,   0.000000,   7.271737,   0.468003,   0.000000,   0.468003
2005-03-02,   6.108750,   1.330000,  56.376786,   0.000000,   7.292642,   0.301038,   0.000000,   0.301038
2005-03-03,   6.264167,   1.640000,  58.891518,   0.000000,   7.657447,   0.320003,   0.000000,   0.320003
2005-03-04,   6.419583,   1.190000,  61.406250,   0.000000,   7.751809,   0.211397,   0.000000,   0.211397
2005-03-05,   6.575000,   0.270000,  63.920982,   0.000000,   6.339466,   0.011632,   0.000000,   0.011632
2005-03-06,   6.730417,   2.180000,  66.435714,   0.000000,   2.526658,   0.331548,   0.000000,   0.331548
2005-03-07,   6.885833,   1.600000,  68.950446,   0.000000,   1.375464,   0.340516,   0.000000,   0.340516
2005-03-08,   7.041250,   0.370000,  71.465179,   0.000000,   0.617851,   0.044323,   0.000000,   0.044323
2005-03-09,   7.196667,   2.460000,  73.979911,   0.000000,   1.634652,   0.389678,   0.000000,   0.389678
2005-03-10,   7.352083,   1.090000,  76.494643,   0.000000,   1.165261,   0.207414,   0.000000,   0.207414
2005-03-11,   7.507500,   2.050000,  79.009375,   0.000000,   1.557286,   0.318822,   0.000000,   0.318822
2005-03-12,   7.662917,   2.730000,  81.524107,   0.000000,   2.133294,   0.475737,   0.000000,   0.475737
2005-03-13,   7.818333,   2.130000,  84.038839,   0.000000,   1.880193,   0.375048,   0.000000,   0.375048
2005-03-14,   7.973750,   3.140000,  86.553571,   0.000000,   2.460615,   0.515301,   0.000000,   0.515301
2005-03-15,   8.129167,   0.770000,  89.068304,   0.000000,   1.075448,   0.118308,   0.000000,   0.118308
2005-03-16,   8.284583,   2.400000,  91.583036,   0.000000,   1.837764,   0.302592,   0.000000,   0.302592
2005-03-17,   8.440000,   1.320000,  94.097768,   0.000000,   1.339275,   0.163402,   0.000000,   0.163402
2005-03-18,   8.595417,   1.130000,  96.967436,   0.000000,   1.098970,   0.080107,   0.000000,   0.080107
2005-03-19,   8.750833,   1.420000, 100.060533,   0.000000,   1.312321,   0.090298,   0.000000,   0.090298
2005-03-20,   8.906250,   1.690000, 103.236300,   0.000000,   1.583451,   0.099939,   0.000000,   0.099939
2005-03-21,   9.061667,   2.060000, 106.504482,   0.000000,   1.942354,   0.109578,   0.000000,   0.109578
2005-03-22,   9.217083,   0.830000, 109.876056,   0.000000,   0.970767,   0.000837,   0.000000,   0.000837
2005-03-23,   9.372500,   2.900000, 113.363405,   0.000000,   2.677923,   0.089548,   0.000000,   0.089548
2005-03-24,   9.527917,   2.470000, 116.980501,   0.000000,   2.670539,   0.035598,   0.000000,   0.035598
2005-03-25,   9.683333,   0.460000, 120.743132,   0.000000,   1.200831,   0.000000,   0.000000,   0.000000
2005-03-26,   9.838750,   3.490000, 124.669145,   0.000000,   4.015556,   0.031239,   0.000000,   0.031239
2005-03-27,   9.994167,   3.900000, 128.778737,   0.000000,   4.339154,   0.022650,   0.000000,   0.022650
2005-03-28,  10.149583,   3.180000, 133.094782,   0.000000,   3.410709,   0.000000,   0.000000,   0.000000
2005-03-29,  10.305000,   1.820000, 137.643211,   0.000000,   1.914040,   0.000000,   0.000000,   0.000000
2005-03-30,  10.460417,   0.930000, 142.453445,   0.000000,   0.955377,   0.000000,   0.000000,   0.000000
2005-03-31,  10.615833,   3.050000, 147.558890,   0.000000,   3.052979,   0.000000,   0.000000,   0.000000
2005-04-01,  10.771250,   1.600000, 152.997518,   0.000000,   1.600013,   0.000000,   0.000000,   0.000000
2005-04-02,  10.926667,   3.220000, 158.812526,   0.000000,   3.220000,   0.000000,   0.000000,   0.000000
2005-04-03,  11.082083,   2.210000, 165.053096,   0.000000,   2.210000,   0.000000,   0.000000,   0.000000
2005-04-04,  11.237500,   2.980000, 171.775278,   0.000000,   2.980000,   0.000000,   0.000000,   0.000000
2005-04-05,  11.392917,   2.360000, 179.043008,   0.000000,   2.360000,   0.000000,   0.000000,   0.000000
2005-04-06,  11.548333,   2.710000, 186.929279,   0.000000,   2.710000,   0.000000,   0.000000,   0.000000
2005-04-07,  11.703750,   2.010000, 195.517502,   0.000000,   2.010000,   0.000000,   0.000000,   0.000000
2005-04-08,  11.859167,   3.790000, 204.903082,   0.000000,   3.790000,   0.000000,   0.000000,   0.000000
2005-04-09,  12.014583,   2.130000, 215.195238,   0.000000,   2.130000,   0.000000,   0.000000,   0.000000
2005-04-10,  12.170000,   2.400000, 226.519124,   0.000000,   2.870112,   0.000000,   0.000000,   0.000000
2005-04-11,  19.130000,   3.880000, 244.267663,   0.000000,   5.127589,   0.000000,   0.000000,   0.000000
2005-04-12,  18.783333,   0.650000, 264.502089,   0.000000,   1.147460,   0.000000,   0.000000,   0.000000
2005-04-13,  18.436667,   0.730000, 284.419643,   0.000000,   0.938727,   0.000000,   0.000000,   0.000000
2005-04-14,  18.090000,   2.970000, 288.834821,   0.000000,   3.022216,   0.000000,   0.000000,   0.000000
2005-04-15,  17.743333,   0.830000, 293.250000,   0.000000,   0.837753,   0.000000,   0.000000,   0.000000
2005-04-16,  17.396667,   3.940000, 297.897917,   0.000000,   3.940666,   0.000000,   0.000000,   0.000000
2005-04-17,  17.050000,   1.590000, 302.545833,   0.000000,   1.590032,   0.000000,   0.000000,   0.000000
2005-04-18,  17.210000,   1.250000, 307.193750,   0.000000,   1.250001,   0.000000,   0.000000,   0.000000
2005-04-19,  17.370000,   3.920000, 311.841667,   0.000000,   3.920000,   0.000000,   0.000000,   0.000000
2005-04-20,  17.530000,   3.480000, 316.489583,   0.000000,   3.480000,   0.000000,   0.000000,   0.000000
2005-04-21,  17.690000,   3.870000, 321.137500,   0.000000,   3.870000,   0.000000,   0.000000,   0.000000
2005-04-22,  16.710000,   2.910000, 325.785417,   0.000000,   2.910000,   0.000000,   0.000000,   0.000000
2005-04-23,  16.642000,   1.140000, 330.433333,   0.000000,   1.140000,   0.000000,   0.000000,   0.000000
2005-04-24,  16.574000,   3.910000, 335.081250,   0.000000,   3.910000,   0.000000,   0.000000,   0.000000
2005-04-25,  16.506000,   1.730000, 339.729167,   0.000000,   1.730000,   0.000000,   0.000000,   0.000000
2005-04-26,  16.438000,   2.800000, 344.377083,   0.000000,   2.800000,   0.000000,   0.000000,   0.000000
2005-04-27,  16.370000,   2.950000, 349.025000,   0.000000,   3.521708,   0.000000,   0.000000,   0.000000
2005-04-28,  15.190000,   1.840000, 353.672917,   0.000000,   2.521138,   0.000000,   0.000000,   0.000000
2005-04-29,  14.010000,   2.610000, 358.320833,   0.000000,   3.021054,   0.000000,   0.000000,   0.000000
2005-04-30,  15.300000,   2.920000, 362.968750,   0.000000,   3.064948,   0.000000,   0.000000,   0.000000
2005-05-01,  16.590000,   2.380000, 367.616667,   0.000000,   2.410528,   0.000000,   0.000000,   0.000000
2005-05-02,  15.934000,   0.900000, 372.264583,   0.000000,   0.903791,   0.000000,   0.000000,   0.000000
2005-05-03,  15.278000,   2.300000, 376.912500,   0.000000,   2.300269,   0.000000,   0.000000,   0.000000
2005-05-04,  14.622000,   3.330000, 381.560417,   0.000000,   3.330010,   0.000000,   0.000000,   0.000000
2005-05-05,  13.966000,   1.310000, 386.208333,   0.000000,   1.310000,   0.000000,   0.000000,   0.000000
2005-05-06,  13.310000,   1.850000, 390.856250,   0.000000,   1.850000,   0.000000,   0.000000,   0.000000
2005-05-07,  12.870000,   1.560000, 395.504167,   0.000000,   1.560000,   0.000000,   0.000000,   0.000000
2005-05-08,  13.294000,   3.850000, 400.152083,   0.000000,   3.850000,   0.000000,   0.000000,   0.000000
2005-05-09,  13.718000,   2.670000, 404.800000,   0.000000,   2.670000,   0.000000,   0.000000,   0.000000
2005-05-10,  14.142000,   2.410000, 401.925000,   0.000000,   2.410000,   0.000000,   0.000000,   0.000000
2005-05-11,  14.566000,   1.230000, 399.050000,   0.000000,   1.230000,   0.000000,   0.000000,   0.000000
2005-05-12,  14.990000,   2.540000, 396.175000,   0.000000,   2.540000,   0.000000,   0.000000,   0.000000
2005-05-13,  11.190000,   1.330000, 393.300000,   0.000000,   3.288125,   0.000000,   0.000000,   0.000000
2005-05-14,  14.670000,   2.030000, 390.425000,   0.000000,   4.945717,   0.000000,   0.000000,   0.000000
2005-05-15,  18.150000,   1.360000, 387.550000,   0.000000,   4.254247,   0.000000,   0.000000,   0.000000
2005-05-16,  18.090000,   2.680000, 384.675000,   0.000000,   5.372776,   0.000000,   0.000000,   0.000000
2005-05-17,  18.030000,   2.580000, 381.800000,   0.000000,   5.351305,   0.000000,   0.000000,   0.000000
2005-05-18,  17.970000,   1.790000, 389.850000,   0.000000,   4.701423,   0.000000,   0.000000,   0.000000
2005-05-19,  17.890000,   2.400000, 397.900000,   0.000000,   5.371541,   0.000000,   0.000000,   0.000000
2005-05-20,  17.810000,   0.910000, 405.950000,   0.000000,   3.941659,   0.000000,   0.000000,   0.000000
2005-05-21,  17.730000,   0.510000, 414.000000,   0.000000,   3.601777,   0.000000,   0.000000,   0.000000
2005-05-22,  17.690000,   2.440000, 422.050000,   0.000000,   5.591895,   0.000000,   0.000000,   0.000000
2005-05-23,  16.970000,   2.170000, 430.100000,   0.000000,   5.382013,   0.000000,   0.000000,   0.000000
2005-05-24,  19.220000,   2.640000, 438.150000,   0.000000,   5.772131,   0.000000,   0.000000,   0.000000
2005-05-25,  21.470000,   4.380000, 446.200000,   0.000000,   5.832248,   0.000000,   0.000000,   0.000000
2005-05-26,  23.720000,   2.940000, 445.768750,   0.000000,   5.829028,   0.000000,   0.000000,   0.000000
2005-05-27,  25.970000,   1.090000, 445.337500,   0.000000,   4.415807,   0.000000,   0.000000,   0.000000
2005-05-28,  23.790000,   3.120000, 444.906250,   0.000000,   5.822587,   0.000000,   0.000000,   0.000000
2005-05-29,  23.355455,   0.680000, 444.475000,   0.000000,   3.999366,   0.000000,   0.000000,   0.000000
2005-05-30,  22.920909,   1.540000, 444.043750,   0.000000,   4.856145,   0.000000,   0.000000,   0.000000
2005-05-31,  22.486364,   1.930000, 443.612500,   0.000000,   5.242925,   0.000000,   0.000000,   0.000000
2005-06-01,  22.051818,   3.210000, 443.181250,   0.000000,   5.809704,   0.000000,   0.000000,   0.000000
2005-06-02,  21.617273,   0.760000, 442.750000,   0.000000,   4.066484,   0.000000,   0.000000,   0.000000
2005-06-03,  21.182727,   0.670000, 445.241667,   0.000000,   3.995092,   0.000000,   0.000000,   0.000000
2005-06-04,  20.748182,   1.400000, 447.733333,   0.000000,   4.743700,   0.000000,   0.000000,   0.000000
2005-06-05,  20.313636,   0.840000, 450.225000,   0.000000,   4.202307,   0.000000,   0.000000,   0.000000
2005-06-06,  19.879091,   2.630000, 452.716667,   0.000000,   5.880915,   0.000000,   0.000000,   0.000000
2005-06-07,  19.444545,   0.420000, 455.208333,   0.000000,   3.819523,   0.000000,   0.000000,   0.000000
2005-06-08,  19.010000,   0.350000, 457.700000,   0.000000,   3.768131,   0.000000,   0.000000,   0.000000
2005-06-09,  20.120909,   1.060000, 451.070227,   0.000000,   4.689526,   0.000000,   0.000000,   0.000000
2005-06-10,  21.231818,   1.000000, 439.056360,   0.000000,   4.973703,   0.000000,   0.000000,   0.000000
2005-06-11,  22.342727,   3.430000, 426.126333,   0.000000,   6.601426,   0.000000,   0.000000,   0.000000
2005-06-12,  23.453636,   2.450000, 412.267926,   0.000000,   6.936974,   0.000000,   0.000000,   0.000000
2005-06-13,  24.564545,   1.590000, 397.468920,   0.000000,   6.901522,   0.000000,   0.000000,   0.000000
2005-06-14,  25.675455,   0.270000, 381.717093,   0.000000,   6.150513,   0.000000,   0.000000,   0.000000
2005-06-15,  26.786364,   2.340000, 365.000226,   0.000000,   8.295204,   0.000000,   0.000000,   0.000000
2005-06-16,  27.897273,   0.500000, 347.306100,   0.000000,   7.742989,   0.000000,   0.000000,   0.000000
2005-06-17,  29.008182,   0.000000, 328.622493,   0.000000,   8.047792,   0.000000,   0.000000,   0.000000
2005-06-18,  30.119091,   2.690000, 308.937186,   0.000000,  10.310457,   0.000000,   0.000000,   0.000000
2005-06-19,  31.230000,   1.820000, 288.237960,   0.000000,  11.142230,   0.000000,   0.000000,   0.000000
2005-06-20,  30.760000,   2.420000, 267.646956,   0.000000,  12.001971,   0.000000,   0.000000,   0.000000
2005-06-21,  30.290000,   1.820000, 255.700000,   0.000000,  12.552304,   0.000000,   0.000000,   0.000000
2005-06-22,  29.820000,   2.360000, 257.000000,   0.000000,  12.611037,   0.000000,   0.000000,   0.000000
2005-06-23,  29.350000,   0.850000, 258.300000,   0.000000,  12.519770,   0.000000,   0.000000,   0.000000
2005-06-24,  30.930000,   0.470000, 259.600000,   0.000000,  12.198503,   0.000000,   0.000000,   0.000000
2005-06-25,  28.143333,   2.180000, 260.900000,   0.000000,  12.787235,   0.000000,   0.000000,   0.000000
2005-06-26,  25.356667,   0.700000, 262.200000,   0.000000,  12.545968,   0.000000,   0.000000,   0.000000
2005-06-27,  22.570000,   0.810000, 260.775000,   0.000000,  12.591588,   0.000000,   0.000000,   0.000000
2005-06-28,  23.530000,   1.040000, 259.350000,   0.000000,  12.717208,   0.000000,   0.000000,   0.000000
2005-06-29,  23.335000,   1.520000, 257.925000,   0.000000,  12.652828,   0.000000,   0.000000,   0.000000
2005-06-30,  23.140000,   1.150000, 256.500000,   0.000000,  12.588447,   0.000000,   0.000000,   0.000000
2005-07-01,  22.945000,   0.130000, 255.075000,   0.000000,  11.654067,   0.000000,   0.000000,   0.000000
2005-07-02,  22.750000,   0.860000, 253.650000,   0.000000,  12.319687,   0.000000,   0.000000,   0.000000
2005-07-03,  22.555000,   0.000000, 252.225000,   0.000000,  11.395307,   0.000000,   0.000000,   0.000000
2005-07-04,  22.360000,   2.130000, 250.800000,   0.000000,  12.330926,   0.000000,   0.000000,   0.000000
2005-07-05,  22.165000,   0.000000, 258.450000,   0.000000,  11.676547,   0.000000,   0.000000,   0.000000
2005-07-06,  21.970000,   0.400000, 266.100000,   0.000000,  12.422167,   0.000000,   0.000000,   0.000000
2005-07-07,  21.775000,   1.550000, 273.750000,   0.000000,  13.367787,   0.000000,   0.000000,   0.000000
2005-07-08,  21.580000,   0.760000, 281.400000,   0.000000,  13.473408,   0.000000,   0.000000,   0.000000
2005-07-09,  21.385000,   3.040000, 289.050000,   0.000000,  14.059028,   0.000000,   0.000000,   0.000000
2005-07-10,  21.190000,   0.210000, 296.700000,   0.000000,  13.614648,   0.000000,   0.000000,   0.000000
2005-07-11,  23.890000,   1.770000, 304.350000,   0.000000,  14.750269,   0.000000,   0.000000,   0.000000
2005-07-12,  24.970000,   1.460000, 312.000000,   0.000000,  15.095889,   0.000000,   0.000000,   0.000000
2005-07-13,  24.790000,   0.330000, 308.610000,   0.000000,  14.272732,   0.000000,   0.000000,   0.000000
2005-07-14,  23.536667,   2.020000, 305.220000,   0.000000,  14.789575,   0.000000,   0.000000,   0.000000
2005-07-15,  22.283333,   1.330000, 301.830000,   0.000000,  14.636417,   0.000000,   0.000000,   0.000000
2005-07-16,  21.030000,   2.270000, 298.440000,   0.000000,  14.483260,   0.000000,   0.000000,   0.000000
2005-07-17,  29.890000,   2.320000, 295.050000,   0.000000,  14.330103,   0.000000,   0.000000,   0.000000
2005-07-18,  29.804194,   3.660000, 291.660000,   0.000000,  14.176946,   0.000000,   0.000000,   0.000000
2005-07-19,  29.718387,   2.840000, 288.270000,   0.000000,  14.023788,   0.000000,   0.000000,   0.000000
2005-07-20,  29.632581,   1.130000, 284.880000,   0.000000,  13.870631,   0.000000,   0.000000,   0.000000
2005-07-21,  29.546774,   1.260000, 281.490000,   0.000000,  13.717474,   0.000000,   0.000000,   0.000000
2005-07-22,  29.460968,   2.600000, 278.100000,   0.000000,  13.564317,   0.000000,   0.000000,   0.000000
2005-07-23,  29.375161,   2.160000, 274.710000,   0.000000,  13.411159,   0.000000,   0.000000,   0.000000
2005-07-24,  29.289355,   2.140000, 271.320000,   0.000000,  13.258002,   0.000000,   0.000000,   0.000000
2005-07-25,  29.203548,   0.000000, 267.930000,   0.000000,  12.104845,   0.000000,   0.000000,   0.000000
2005-07-26,  29.117742,   1.480000, 264.540000,   0.000000,  12.951688,   0.000000,   0.000000,   0.000000
2005-07-27,  29.031935,   0.760000, 261.150000,   0.000000,  12.558530,   0.000000,   0.000000,   0.000000
2005-07-28,  28.946129,   1.780000, 257.760000,   0.000000,  12.645373,   0.000000,   0.000000,   0.000000
2005-07-29,  28.860323,   1.400000, 254.370000,   0.000000,  12.492216,   0.000000,   0.000000,   0.000000
2005-07-30,  28.774516,   2.410000, 250.980000,   0.000000,  12.339058,   0.000000,   0.000000,   0.000000
2005-07-31,  28.688710,   1.820000, 247.590000,   0.000000,  12.185901,   0.000000,   0.000000,   0.000000
2005-08-01,  28.602903,   2.290000, 244.200000,   0.000000,  12.032744,   0.000000,   0.000000,   0.000000
2005-08-02,  28.517097,   1.030000, 240.810000,   0.000000,  11.879587,   0.000000,   0.000000,   0.000000
2005-08-03,  28.431290,   0.560000, 237.420000,   0.000000,  11.286429,   0.000000,   0.000000,   0.000000
2005-08-04,  28.345484,   1.090000, 234.030000,   0.000000,  11.573272,   0.000000,   0.000000,   0.000000
2005-08-05,  28.259677,   1.480000, 230.640000,   0.000000,  11.420115,   0.000000,   0.000000,   0.000000
2005-08-06,  28.173871,   1.880000, 227.250000,   0.000000,  11.266958,   0.000000,   0.000000,   0.000000
2005-08-07,  28.088065,   3.760000, 223.860000,   0.000000,  11.113800,   0.000000,   0.000000,   0.000000
2005-08-08,  28.002258,   1.460000, 220.470000,   0.000000,  10.960643,   0.000000,   0.000000,   0.000000
2005-08-09,  27.916452,   0.540000, 217.080000,   0.000000,  10.347486,   0.000000,   0.000000,   0.000000
2005-08-10,  27.830645,   1.150000, 213.690000,   0.000000,  10.654329,   0.000000,   0.000000,   0.000000
2005-08-11,  27.744839,   1.040000, 210.300000,   0.000000,  10.501171,   0.000000,   0.000000,   0.000000
2005-08-12,  27.659032,   1.980000, 206.910000,   0.000000,  10.348014,   0.000000,   0.000000,   0.000000
2005-08-13,  27.573226,   0.000000, 203.520000,   0.000000,   9.194857,   0.000000,   0.000000,   0.000000
2005-08-14,  27.487419,   1.560000, 200.130000,   0.000000,  10.041700,   0.000000,   0.000000,   0.000000
2005-08-15,  27.401613,   1.660000, 196.740000,   0.000000,   9.888542,   0.000000,   0.000000,   0.000000
2005-08-16,  27.315806,   1.730000, 193.350000,   0.000000,   9.735385,   0.000000,   0.000000,   0.000000
2005-08-17,  27.230000,   0.900000, 189.960000,   0.000000,  28.494000,   0.000000,   0.000000,   0.000000
2005-08-18,  31.390000,   1.260000, 186.570000,   0.000000,  27.985500,   0.000000,   0.000000,   0.000000
2005-08-19,  29.585000,   0.080000, 183.180000,   0.000000,  27.477000,   0.000000,   0.000000,   0.000000
2005-08-20,  27.780000,   1.010000, 179.790000,   0.000000,  26.968500,   0.000000,   0.000000,   0.000000
2005-08-21,  25.975000,   0.960000, 176.400000,   0.000000,  26.460000,   0.000000,   0.000000,   0.000000
2005-08-22,  24.170000,   1.920000, 180.150000,   0.000000,  27.022500,   0.000000,   0.000000,   0.000000
2005-08-23,  22.365000,   0.340000, 183.900000,   0.000000,  27.585000,   0.000000,   0.000000,   0.000000
2005-08-24,  20.560000,   2.280000, 187.650000,   0.000000,  28.147500,   0.000000,   0.000000,   0.000000
2005-08-25,  18.755000,   2.990000, 191.400000,   0.000000,  28.710000,   0.000000,   0.000000,   0.000000
2005-08-26,  16.950000,   0.000000, 195.150000,   0.000000,  29.272500,   0.000000,   0.000000,   0.000000
2005-08-27,  20.450000,   1.930000, 198.900000,   0.000000,  29.835000,   0.000000,   0.000000,   0.000000
2005-08-28,  23.950000,   2.180000, 202.650000,   0.000000,  30.397500,   0.000000,   0.000000,   0.000000
2005-08-29,  28.430000,   0.860000, 206.400000,   0.000000,  30.960000,   0.000000,   0.000000,   0.000000
2005-08-30,  27.390000,   1.100000, 201.600000,   0.000000,  30.240000,   0.000000,   0.000000,   0.000000
2005-08-31,  31.250000,   1.370000, 196.800000,   0.000000,  29.520000,   0.000000,   0.000000,   0.000000
2005-09-01,  28.330000,   2.200000, 192.000000,   0.000000,  28.800000,   0.000000,   0.000000,   0.000000
2005-09-02,  25.410000,   2.190000, 187.200000,   0.000000,  28.080000,   0.000000,   0.000000,   0.000000
2005-09-03,  26.720000,   0.820000, 182.400000,   0.000000,  27.360000,   0.000000,   0.000000,   0.000000
2005-09-04,  28.030000,   3.650000, 177.600000,   0.000000,  26.640000,   0.000000,   0.000000,   0.000000
2005-09-05,  27.540000,   3.580000, 172.800000,   0.000000,  25.920000,   0.000000,   0.000000,   0.000000
2005-09-06,  27.050000,   1.690000, 168.000000,   0.000000,  25.200000,   0.000000,   0.000000,   0.000000
2005-09-07,  27.320000,   1.030000, 163.200000,   0.000000,  24.480000,   0.000000,   0.000000,   0.000000
2005-09-08,  27.590000,   3.020000, 158.400000,   0.000000,  23.760000,   0.000000,   0.000000,   0.000000
2005-09-09,  28.310000,   1.920000, 153.600000,   0.000000,  23.040000,   0.000000,   0.000000,   0.000000
2005-09-10,  24.916667,   2.640000, 148.800000,   0.000000,  22.320000,   0.000000,   0.000000,   0.000000
2005-09-11,  21.523333,   2.180000, 144.000000,   0.000000,  21.600000,   0.000000,   0.000000,   0.000000
2005-09-12,  18.130000,   3.190000, 139.200000,   0.000000,  20.880000,   0.000000,   0.000000,   0.000000
2005-09-13,  20.350000,   3.190000, 134.400000,   0.000000,  20.160000,   0.000000,   0.000000,   0.000000
2005-09-14,  19.076667,   1.770000, 129.600000,   0.000000,  19.440000,   0.000000,   0.000000,   0.000000
2005-09-15,  17.803333,   1.120000, 126.800000,   0.000000,  19.020000,   0.000000,   0.000000,   0.000000
2005-09-16,  16.530000,   0.920000, 124.000000,   0.000000,  18.600000,   0.000000,   0.000000,   0.000000
2005-09-17,  17.850000,   3.110000, 121.200000,   0.000000,  18.180000,   0.000000,   0.000000,   0.000000
2005-09-18,  20.300000,   1.310000, 118.400000,   0.000000,  17.760000,   0.000000,   0.000000,   0.000000
2005-09-19,  22.750000,   1.990000, 115.600000,   0.000000,  17.340000,   0.000000,   0.000000,   0.000000
2005-09-20,  21.050000,   1.900000, 112.800000,   0.000000,  16.920000,   0.000000,   0.000000,   0.000000
2005-09-21,  19.350000,   2.450000, 110.000000,   0.000000,  16.500000,   0.000000,   0.000000,   0.000000
2005-09-22,  18.736667,   0.560000, 107.964370,   0.000000,  15.840565,   0.000000,   0.000000,   0.000000
2005-09-23,  18.123333,   2.690000, 106.166360,   0.000000,  15.113273,   0.000000,   0.000000,   0.000000
2005-09-24,  17.510000,   3.020000, 104.373368,   0.000000,  14.392470,   0.000000,   0.000000,   0.000000
2005-09-25,  17.490000,   2.590000, 102.618909,   0.000000,  13.669180,   0.000000,   0.000000,   0.000000
2005-09-26,  16.180000,   2.190000, 100.811653,   0.000000,  12.970726,   0.000000,   0.000000,   0.000000
2005-09-27,  14.870000,   2.600000,  98.936389,   0.000000,  12.300792,   0.000000,   0.000000,   0.000000
2005-09-28,  13.560000,   2.900000,  96.978534,   0.000000,  11.662434,   0.000000,   0.000000,   0.000000
2005-09-29,  12.250000,   0.000000,  94.924626,   0.000000,  10.829955,   0.000000,   0.000000,   0.000000
2005-09-30,  11.250000,   4.460000,  92.788252,   0.000000,  10.482627,   0.000000,   0.000000,   0.000000
2005-10-01,  10.250000,   2.890000,  90.560995,   0.000000,   9.937293,   0.000000,   0.000000,   0.000000
2005-10-02,  10.792500,   1.850000,  88.367345,   0.000000,   9.391072,   0.000000,   0.000000,   0.000000
2005-10-03,  11.335000,   2.110000,  86.207795,   0.000000,   8.845357,   0.000000,   0.000000,   0.000000
2005-10-04,  11.877500,   2.990000,  84.082760,   0.000000,   8.301790,   0.000000,   0.000000,   0.000000
2005-10-05,  12.420000,   2.380000,  81.992510,   0.000000,   7.762310,   0.000000,   0.000000,   0.000000
2005-10-06,  12.962500,   0.470000,  79.937105,   0.000000,   7.220436,   0.000000,   0.000000,   0.000000
2005-10-07,  13.505000,   4.560000,  77.916293,   0.000000,   6.705119,   0.000000,   0.000000,   0.000000
2005-10-08,  14.047500,   2.390000,  75.929401,   0.000000,   6.193187,   0.000000,   0.000000,   0.000000
2005-10-09,  14.590000,   3.520000,  76.985081,   0.000000,   5.902032,   0.000000,   0.000000,   0.000000
2005-10-10,  21.170000,   1.810000,  78.913907,   0.000000,   5.497731,   0.000000,   0.000000,   0.000000
2005-10-11,  16.050000,   4.040000,  80.421435,   0.000000,   5.190735,   0.000000,   0.000000,   0.000000
2005-10-12,  16.640000,   2.790000,  82.159446,   0.000000,   4.883761,   0.000000,   0.000000,   0.000000
